iter	Passed	Remaining
235	373	1208
236	374	1206
237	376	1204
238	377	1203
239	379	1201
240	381	1200
241	382	1198
242	384	1196
243	385	1194
244	387	1193
245	388	1191
246	390	1189
247	392	1189
248	393	1187
249	395	1185
250	396	1184
251	398	1182
252	399	1180
253	401	1179
254	403	1177
255	404	1175
256	406	1175
257	408	1173
258	409	1172
259	411	1170
260	412	1168
261	414	1166
262	415	1164
263	417	1163
264	418	1161
265	420	1160
266	422	1158
267	423	1156
268	424	1154
269	426	1152
270	427	1151
271	429	1149
272	431	1148
273	432	1146
274	434	1145
275	435	1143
276	437	1141
277	438	1139
278	440	1138
279	442	1136
280	443	1135
281	445	1133
282	446	1131
283	448	1130
284	449	1128
285	451	1126
286	452	1124
287	454	1123
288	456	1121
289	457	1120
290	459	1118
291	460	1116
292	462	1114
293	463	1113
294	465	1111
295	466	1110
296	468	1108
297	469	1106
298	471	1105
299	472	1103
300	474	1102
301	476	1100
302	477	1098
303	479	1096
304	480	1095
305	482	1093
306	483	1092
307	485	1090
308	486	1088
309	488	1087
310	489	1085
311	491	1083
312	493	1082
313	494	1080
314	496	1079
315	497	1077
316	499	1075
317	500	1074
318	502	1072
319	503	1070
320	505	1069
321	507	1068
322	509	1067
323	510	1065
324	512	1063
325	513	1062
326	515	1061
327	517	1059
328	518	1058
329	520	1056
330	521	1054
331	523	1053
332	525	1051
333	526	1049
334	528	1048
335	529	1046
336	531	1045
337	532	1043
338	534	1042
339	535	1040
340	537	1038
341	538	1036
342	540	1035
343	541	1033
344	543	1031
345	545	1030
346	546	1028
347	548	1027
348	549	1025
349	551	1024
350	552	1022
351	554	1021
352	556	1019
353	557	1017
354	559	1016
355	560	1014
356	562	1012
357	563	1011
358	565	1009
359	567	1008
360	568	1006
361	570	1004
362	571	1003
363	573	1001
364	574	999
365	576	998
366	577	996
367	579	995
368	581	993
369	582	992
370	584	990
371	585	988
372	587	987
373	588	985
374	590	983
375	591	982
376	593	981
377	595	979
378	596	977
379	598	976
380	599	974
381	601	972
382	602	971
383	604	970
384	606	968
385	608	967
386	609	965
387	611	964
388	612	962
389	614	960
390	615	959
391	617	957
392	618	955
393	620	954
394	621	952
395	623	950
396	624	949
397	626	947
398	628	945
399	629	944
400	631	943
401	633	941
402	634	940
403	636	938
404	638	937
405	639	935
406	641	934
407	642	932
408	644	930
409	645	929
410	647	927
411	649	926
412	650	924
413	652	923
414	653	921
415	655	920
416	656	918
417	658	916
418	660	915
419	661	913
420	663	912
421	664	910
422	666	908
423	667	907
424	669	905
425	671	904
426	672	902
427	674	901
428	675	899
429	677	897
430	678	896
431	680	894
432	682	893
433	683	891
434	685	889
435	686	888
436	688	886
437	689	885
438	691	883
439	693	882
440	694	880
441	696	878
442	697	877
443	699	875
444	700	873
445	702	872
446	703	870
447	705	869
448	707	868
449	708	866
450	710	865
451	712	863
452	713	861
453	715	860
454	717	859
455	718	857
456	720	856
457	722	854
458	723	852
459	725	851
460	726	849
461	728	848
462	729	846
463	731	844
464	733	843
465	734	841
466	736	840
467	737	838
468	739	836
469	740	835
470	742	833
471	744	832
472	746	831
473	747	829
474	749	828
475	751	826
476	752	825
477	754	823
478	755	822
479	757	820
480	758	818
481	760	817
482	762	815
483	763	814
484	765	812
485	767	811
486	769	810
487	770	808
488	772	807
489	774	805
490	775	803
491	777	802
492	778	800
493	780	799
494	782	798
495	783	796
496	785	794
497	786	793
498	788	791
499	789	789
500	791	788
501	793	786
502	794	785
503	796	783
504	797	781
505	799	780
506	800	778
507	802	777
508	803	775
509	805	773
510	807	772
511	808	770
512	810	769
513	811	767
514	813	765
515	814	764
516	816	762
517	818	761
518	819	759
519	821	758
520	822	756
521	824	754
522	825	753
523	827	751
524	829	750
525	830	748
526	832	746
527	833	745
528	835	743
529	836	741
530	838	740
531	839	738
532	841	737
533	842	735
534	844	734
535	846	732
536	847	730
537	849	729
538	850	727
539	852	725
540	853	724
541	855	722
542	856	721
543	858	719
544	859	717
545	861	716
546	863	714
547	864	713
548	866	711
549	867	710
550	869	708
551	870	706
552	872	705
553	873	703
554	875	701
555	876	700
556	878	698
557	880	697
558	881	695
559	883	694
560	885	692
561	886	690
562	888	689
563	889	687
564	891	686
565	893	685
566	894	683
567	896	681
568	898	680
569	899	678
570	901	677
571	902	675
572	904	673
573	905	672
574	907	670
575	908	669
576	910	667
577	911	665
578	913	664
579	915	662
580	916	660
581	918	659
582	919	657
583	921	656
584	922	654
585	924	653
586	925	651
587	927	649
588	928	647
589	930	646
590	932	644
591	933	643
592	935	641
593	936	640
594	938	638
595	939	636
596	941	635
597	942	633
598	944	632
599	946	630
600	948	629
601	949	627
602	951	626
603	952	624
604	954	622
605	955	621
606	957	620
607	959	618
608	960	616
609	962	615
610	963	613
611	965	611
612	966	610
613	968	608
614	969	607
615	971	605
616	973	603
617	974	602
618	976	600
619	977	599
620	979	597
621	980	596
622	982	594
623	984	593
624	986	591
625	987	590
626	989	588
627	990	586
628	991	585
629	993	583
630	995	582
631	997	580
632	998	578
633	1000	577
634	1001	575
635	1003	574
636	1004	572
637	1006	570
638	1007	569
639	1009	567
640	1010	566
641	1012	564
642	1013	562
643	1015	561
644	1016	559
645	1018	558
646	1019	556
647	1021	554
648	1023	553
649	1024	551
650	1026	550
651	1027	548
652	1029	546
653	1030	545
654	1032	543
655	1033	542
656	1035	540
657	1037	539
658	1038	537
659	1040	535
660	1041	534
661	1043	532
662	1044	531
663	1046	529
664	1048	528
665	1049	526
666	1051	524
667	1052	523
668	1054	521
669	1055	520
670	1057	518
671	1058	516
672	1060	515
673	1062	513
674	1063	512
675	1065	510
676	1066	508
677	1068	507
678	1069	505
679	1071	504
680	1072	502
681	1074	501
682	1075	499
683	1077	497
684	1079	496
685	1080	494
686	1082	493
687	1083	491
688	1085	489
689	1086	488
690	1088	486
691	1089	485
692	1091	483
693	1093	481
694	1094	480
695	1096	478
696	1097	477
697	1099	475
698	1101	474
699	1102	472
700	1104	470
701	1105	469
702	1107	467
703	1108	466
704	1110	464
705	1111	462
706	1113	461
707	1114	459
708	1116	458
709	1118	456
710	1119	455
711	1121	453
712	1123	452
713	1124	450
714	1126	448
715	1127	447
716	1129	445
717	1130	444
718	1132	442
719	1133	440
720	1135	439
721	1136	437
722	1138	436
723	1140	434
724	1141	433
725	1143	431
726	1144	429
727	1146	428
728	1148	426
729	1149	425
730	1151	423
731	1152	422
732	1154	420
733	1156	418
734	1157	417
735	1159	415
736	1160	414
737	1162	412
738	1163	410
739	1165	409
740	1166	407
741	1168	406
742	1170	404
743	1171	403
744	1173	401
745	1174	399
746	1176	398
747	1177	396
748	1179	395
749	1181	393
750	1182	392
751	1184	390
752	1185	389
753	1187	387
754	1188	385
755	1190	384
756	1191	382
757	1193	380
758	1194	379
759	1196	377
760	1197	376
761	1199	374
762	1201	373
763	1202	371
764	1204	369
765	1205	368
766	1207	366
767	1208	365
768	1210	363
769	1211	361
770	1212	360
771	1214	358
772	1216	357
773	1217	355
774	1219	354
775	1221	352
776	1222	350
777	1224	349
778	1225	347
779	1227	346
780	1228	344
781	1230	343
782	1232	341
783	1233	339
784	1235	338
785	1236	336
786	1238	335
787	1239	333
788	1241	332
789	1243	330
790	1244	328
791	1246	327
792	1247	325
793	1249	324
794	1250	322
795	1252	320
796	1253	319
797	1255	317
798	1257	316
799	1259	314
800	1260	313
801	1262	311
802	1263	310
803	1265	308
804	1266	306
805	1268	305
806	1270	303
807	1271	302
808	1273	300
809	1274	299
810	1276	297
811	1278	295
812	1279	294
813	1280	292
814	1282	291
815	1283	289
816	1285	287
817	1286	286
818	1287	284
819	1289	283
820	1291	281
821	1292	279
822	1294	278
823	1295	276
824	1297	275
825	1298	273
826	1300	271
827	1301	270
828	1303	268
829	1305	267
830	1306	265
831	1308	264
832	1309	262
833	1311	261
834	1312	259
835	1314	257
836	1315	256
837	1317	254
838	1318	253
839	1320	251
840	1322	249
841	1323	248
842	1325	246
843	1326	245
844	1327	243
845	1329	242
846	1331	240
847	1332	238
848	1334	237
849	1335	235
850	1337	234
851	1338	232
852	1340	230
853	1341	229
854	1343	227
855	1345	226
856	1346	224
857	1348	223
858	1349	221
859	1351	219
860	1352	218
861	1354	216
862	1355	215
863	1357	213
864	1359	212
865	1360	210
866	1362	208
867	1363	207
868	1365	205
869	1366	204
870	1367	202
871	1369	201
872	1371	199
873	1372	197
874	1373	196
875	1375	194
876	1377	193
877	1378	191
878	1380	189
879	1382	188
880	1383	186
881	1385	185
882	1387	183
883	1388	182
884	1390	180
885	1391	179
886	1393	177
887	1395	176
888	1397	174
889	1398	172
890	1400	171
891	1401	169
892	1403	168
893	1405	166
894	1406	165
895	1408	163
896	1409	161
897	1411	160
898	1412	158
899	1414	157
900	1415	155
901	1417	153
902	1419	152
903	1420	150
904	1422	149
905	1423	147
906	1425	146
907	1426	144
908	1428	143
909	1430	141
910	1432	139
911	1433	138
912	1435	136
913	1436	135
914	1438	133
915	1440	132
916	1441	130
917	1443	128
918	1444	127
919	1446	125
920	1447	124
921	1449	122
922	1451	121
923	1452	119
924	1454	117
925	1455	116
926	1457	114
927	1459	113
928	1460	111
929	1462	110
930	1463	108
931	1465	106
932	1466	105
933	1468	103
934	1469	102
935	1471	100
936	1473	99
937	1474	97
938	1476	95
939	1477	94
940	1478	92
941	1480	91
942	1482	89
943	1483	88
944	1485	86
945	1486	84
946	1488	83
947	1489	81
948	1491	80
949	1493	78
950	1494	77
951	1496	75
952	1497	73
953	1499	72
954	1500	70
955	1502	69
956	1504	67
957	1505	66
958	1507	64
959	1508	62
960	1510	61
961	1511	59
962	1513	58
963	1515	56
964	1516	54
965	1518	53
966	1519	51
967	1521	50
968	1522	48
969	1524	47
970	1525	45
971	1527	43
972	1528	42
973	1530	40
974	1532	39
975	1533	37
976	1535	36
977	1536	34
978	1538	32
979	1539	31
980	1541	29
981	1543	28
982	1544	26
983	1546	25
984	1547	23
985	1549	22
986	1550	20
987	1552	18
988	1553	17
989	1555	15
990	1557	14
991	1558	12
992	1560	10
993	1561	9
994	1563	7
995	1565	6
996	1566	4
997	1568	3
998	1569	1
999	1571	0
