iter	RMSE
202	13176.25302
203	13128.16348
204	13110.42287
205	13092.73942
206	13048.86522
207	13022.54643
208	12991.18278
209	12972.12006
210	12950.22872
211	12933.0982
212	12915.68672
213	12903.77298
214	12878.43103
215	12844.70534
216	12817.63987
217	12798.4454
218	12785.66567
219	12763.89575
220	12731.112
221	12710.17452
222	12691.95778
223	12684.34924
224	12667.24898
225	12636.43663
226	12603.83933
227	12585.0877
228	12569.61016
229	12522.90402
230	12500.13058
231	12486.96128
232	12467.63207
233	12454.3065
234	12428.61606
235	12407.28631
236	12396.72271
237	12386.09293
238	12351.60757
239	12338.27963
240	12326.62008
241	12316.15315
242	12304.53898
243	12276.68775
244	12258.80115
245	12239.16337
246	12229.21247
247	12218.9666
248	12195.52148
249	12184.31574
250	12173.35241
251	12163.34511
252	12146.05541
253	12131.14056
254	12116.5815
255	12100.96407
256	12087.02168
257	12078.55069
258	12059.48759
259	12047.99981
260	12036.38498
261	12021.78676
262	12013.86864
263	11996.77422
264	11985.33712
265	11972.54833
266	11962.0568
267	11952.43539
268	11947.50737
269	11934.10322
270	11928.33751
271	11920.08643
272	11911.64777
273	11897.70361
274	11869.01975
275	11861.70639
276	11852.264
277	11835.00037
278	11809.11698
279	11792.52814
280	11780.6751
281	11773.4764
282	11766.68821
283	11758.80351
284	11733.09883
285	11725.19649
286	11705.82365
287	11688.22775
288	11661.82941
289	11645.28902
290	11637.00474
291	11627.85425
292	11623.0249
293	11610.71647
294	11591.62622
295	11579.43132
296	11567.44338
297	11552.26322
298	11547.23816
299	11539.64452
300	11526.7636
301	11517.26471
302	11514.04542
303	11501.47463
304	11489.78688
305	11479.83643
306	11464.05113
307	11450.08968
308	11442.29346
309	11424.95124
310	11400.14952
311	11393.87705
312	11375.83005
313	11368.11012
314	11354.48355
315	11343.24376
316	11340.32004
317	11322.77089
318	11313.22983
319	11302.81079
320	11295.20588
321	11275.2522
322	11255.36654
323	11249.80401
324	11228.58513
325	11217.1617
326	11201.55229
327	11189.6262
328	11174.47158
329	11160.2778
330	11153.12501
331	11143.51281
332	11132.85218
333	11127.81191
334	11122.27973
335	11114.30438
336	11108.32265
337	11089.07256
338	11076.71344
339	11071.75816
340	11068.59194
341	11062.38646
342	11056.17571
343	11052.448
344	11038.53107
345	11032.35838
346	11028.83523
347	11010.70153
348	10999.53552
349	10990.54429
350	10979.65373
351	10966.53234
352	10962.01645
353	10950.00205
354	10937.64834
355	10929.41382
356	10918.62466
357	10908.20918
358	10897.21672
359	10892.28627
360	10889.44439
361	10884.24386
362	10866.0801
363	10856.5477
364	10840.28803
365	10833.91307
366	10830.29987
367	10820.48327
368	10800.898
369	10791.7264
370	10786.18901
371	10780.39311
372	10775.40566
373	10768.64655
374	10764.50261
375	10754.82759
376	10748.5836
377	10738.84293
378	10726.27899
379	10721.76507
380	10705.9155
381	10699.48287
382	10690.13709
383	10677.14535
384	10662.35586
385	10651.60388
386	10647.66884
387	10639.83918
388	10623.22272
389	10612.75537
390	10611.72541
391	10606.18337
392	10603.20814
393	10596.51819
394	10594.50041
395	10592.4248
396	10580.73398
397	10571.91429
398	10564.55714
399	10558.7645
400	10548.94571
401	10544.33811
402	10535.55474
403	10525.24504
404	10495.04132
405	10492.10452
406	10489.42676
407	10478.93407
408	10472.80599
409	10441.27908
410	10431.69516
411	10428.75793
412	10426.46847
413	10420.41755
414	10414.09376
415	10386.93018
416	10381.22704
417	10380.22686
418	10366.76315
419	10359.56127
420	10351.4792
421	10347.58972
422	10342.35231
423	10335.20502
424	10331.17468
425	10310.41161
426	10305.5636
427	10297.05902
428	10291.71254
429	10278.97559
430	10265.36687
431	10260.84106
432	10258.41511
433	10252.20548
434	10239.02393
435	10236.43972
436	10230.50251
437	10223.99268
438	10215.83075
439	10204.13765
440	10179.80039
441	10172.45821
442	10171.10154
443	10163.75758
444	10162.00679
445	10156.04976
446	10152.72438
447	10141.73702
448	10115.35375
449	10109.97918
450	10102.22599
451	10100.91683
452	10090.41158
453	10076.22206
454	10071.30689
455	10061.45725
456	10054.29067
457	10047.68347
458	10035.28847
459	10025.32994
460	10022.21764
461	10020.42195
462	10018.29573
463	10012.2769
464	10007.83245
465	10001.55953
466	9995.812996
467	9991.003763
468	9986.035521
469	9981.170745
470	9976.500592
471	9962.505773
472	9954.409484
473	9946.048248
474	9941.032296
475	9937.966596
476	9932.872578
477	9927.243528
478	9921.216002
479	9905.412516
480	9901.023401
481	9895.826071
482	9885.544284
483	9881.217623
484	9864.63606
485	9859.868976
486	9848.013826
487	9842.058158
488	9827.307731
489	9823.106168
490	9821.492183
491	9817.17908
492	9802.825586
493	9797.821137
494	9793.7718
495	9785.573002
496	9783.159389
497	9780.885902
498	9766.407244
499	9762.571491
500	9758.064323
501	9756.380656
502	9755.099586
503	9737.666776
504	9735.917932
505	9725.180158
506	9720.663272
507	9715.872046
508	9708.433468
509	9704.28548
510	9700.497131
511	9693.141468
512	9689.121132
513	9665.614981
514	9659.43357
515	9638.057262
516	9625.390477
517	9623.48603
518	9615.474639
519	9609.690283
520	9602.138526
521	9594.500969
522	9590.037044
523	9587.003459
524	9580.408435
525	9578.872454
526	9576.178684
527	9574.831496
528	9573.622172
529	9569.546902
530	9562.503992
531	9555.418921
532	9553.601422
533	9547.192054
534	9543.76902
535	9536.495835
536	9518.859224
537	9513.73053
538	9510.19301
539	9507.881838
540	9502.631873
541	9499.622013
542	9494.653362
543	9491.992567
544	9487.408275
545	9481.446649
546	9477.475544
547	9473.851839
548	9465.728237
549	9462.749279
550	9462.117063
551	9459.744489
552	9449.72342
553	9446.220601
554	9443.325804
555	9437.623413
556	9432.300882
557	9429.861769
558	9417.661651
559	9414.574584
560	9409.707786
561	9402.855659
562	9389.806131
563	9386.540197
564	9382.493269
565	9370.577049
566	9368.249909
567	9365.244188
568	9358.43062
569	9352.874674
570	9348.565599
571	9342.999807
572	9335.917571
573	9332.795824
574	9326.695086
575	9324.444989
576	9322.093235
577	9313.68887
578	9304.95693
579	9303.90665
580	9302.426594
581	9299.529449
582	9297.377646
583	9294.397331
584	9290.007612
585	9284.008989
586	9281.530001
587	9280.21801
588	9271.151937
589	9259.113644
590	9258.187581
591	9247.275967
592	9241.569081
593	9235.90548
594	9233.845617
595	9229.219344
596	9223.047041
597	9216.442813
598	9206.483964
599	9205.170607
600	9199.142488
601	9192.17863
602	9191.745955
603	9188.056439
604	9177.520408
605	9172.300294
606	9166.357754
607	9164.382906
608	9161.575622
609	9159.063783
610	9155.519572
611	9151.302691
612	9147.178396
613	9139.865754
614	9137.894992
615	9133.958198
616	9131.984605
617	9129.227598
618	9122.791171
619	9113.775763
620	9107.739582
621	9098.741401
622	9095.76227
623	9090.97404
624	9086.831044
625	9082.974539
626	9080.433044
627	9079.896325
628	9077.689884
629	9073.549308
630	9071.277574
631	9069.574378
632	9065.519948
633	9062.160977
634	9061.053125
635	9052.962068
636	9048.975051
637	9045.187044
638	9040.885656
639	9039.824897
640	9037.861081
641	9032.227201
642	9030.014036
643	9026.690595
644	9022.80209
645	9014.418916
646	9009.36125
647	9004.714226
648	9002.346323
649	8998.21159
650	8981.963204
651	8979.585125
652	8968.417535
653	8963.100582
654	8958.348213
655	8954.83394
656	8949.253114
657	8944.404216
658	8940.604355
659	8936.439659
660	8929.886383
661	8921.855969
662	8914.545708
663	8910.877955
664	8908.2161
665	8904.042518
666	8900.553236
667	8897.758091
668	8896.569104
669	8892.234348
670	8891.245849
671	8886.403297
672	8882.166769
673	8878.491724
674	8873.626781
675	8868.689601
676	8861.426653
677	8859.528356
678	8858.811546
679	8856.772254
680	8854.714375
681	8848.96861
682	8845.649289
683	8841.16744
684	8830.128821
685	8828.387772
686	8824.523486
687	8820.827459
688	8814.02571
689	8811.770158
690	8801.162233
691	8794.692446
692	8789.887873
693	8785.640585
694	8779.244774
695	8771.831315
696	8770.037344
697	8765.602941
698	8760.06641
699	8758.811928
700	8755.022958
701	8753.57146
702	8753.1938
703	8752.85882
704	8748.058149
705	8746.61081
706	8745.428188
707	8743.143492
708	8733.417673
709	8727.736411
710	8723.464594
711	8709.259131
712	8696.645724
713	8692.181676
714	8685.416777
715	8678.186823
716	8675.321518
717	8673.4634
718	8669.48321
719	8669.090086
720	8668.773761
721	8663.356343
722	8652.339517
723	8646.920316
724	8634.39805
725	8632.312
726	8629.835274
727	8627.330568
728	8624.172635
729	8619.951441
730	8616.452437
731	8614.735926
732	8609.37217
733	8605.518717
734	8602.265531
735	8588.076059
736	8587.571311
737	8587.137158
738	8586.848762
739	8579.482523
740	8576.998342
741	8576.56443
742	8573.394679
743	8570.756452
744	8570.466952
745	8566.898615
746	8564.261516
747	8561.201299
748	8560.884435
749	8552.867667
750	8548.510808
751	8540.969298
752	8540.514797
753	8535.36298
754	8534.61512
755	8529.564261
756	8528.778068
757	8524.587704
758	8523.616207
759	8518.880794
760	8514.207242
761	8509.888585
762	8502.722927
763	8501.299859
764	8498.523431
765	8495.33464
766	8492.039374
767	8489.692973
768	8485.845372
769	8485.156442
770	8483.460284
771	8477.047818
772	8473.079573
773	8469.87053
774	8469.226673
775	8460.800723
776	8457.256949
777	8455.557185
778	8450.909556
779	8446.616378
780	8444.37021
781	8442.478867
782	8435.666533
783	8432.22185
784	8430.867448
785	8428.733908
786	8422.457329
787	8422.110185
788	8417.87031
789	8417.009918
790	8412.515272
791	8411.807934
792	8408.05185
793	8405.794986
794	8405.459701
795	8402.939673
796	8390.569292
797	8385.603333
798	8381.547644
799	8377.442455
800	8366.16945
801	8365.843874
802	8363.671993
803	8362.687318
804	8359.540301
805	8358.251239
806	8356.813393
807	8353.612809
808	8349.751711
809	8348.415164
810	8341.533769
811	8338.427514
812	8338.224293
813	8337.591811
814	8332.928707
815	8329.259232
816	8328.572508
817	8327.409329
818	8325.539699
819	8319.455362
820	8317.129004
821	8310.903413
822	8310.566482
823	8306.173877
824	8305.906219
825	8292.192175
826	8291.217726
827	8290.068268
828	8287.121961
829	8285.685333
830	8283.125367
831	8280.113986
832	8277.605252
833	8273.076462
834	8271.589992
835	8271.505719
836	8270.858859
837	8267.179565
838	8265.586929
839	8264.442084
840	8257.577169
841	8252.802366
842	8249.435772
843	8245.759331
844	8245.671494
845	8244.246961
846	8240.226473
847	8238.370432
848	8234.800312
849	8232.776343
850	8227.89587
851	8226.645664
852	8224.004296
853	8222.917628
854	8221.195854
855	8214.315581
856	8210.901955
857	8210.632025
858	8207.658478
859	8207.077596
860	8203.497597
861	8197.301615
862	8195.585435
863	8191.532507
864	8188.430849
865	8185.477167
866	8182.756947
867	8182.555329
868	8181.422317
869	8181.253698
870	8177.712021
871	8174.303965
872	8173.825147
873	8170.957773
874	8170.865405
875	8170.618992
876	8167.999064
877	8163.083036
878	8157.306147
879	8154.189201
880	8151.991074
881	8151.002291
882	8146.819815
883	8145.406529
884	8142.851642
885	8140.967215
886	8132.560719
887	8128.369544
888	8122.203268
889	8119.74864
890	8116.3489
891	8113.294236
892	8105.827269
893	8104.889899
894	8103.441593
895	8095.201738
896	8092.638693
897	8090.608208
898	8090.270939
899	8088.852337
900	8088.227431
901	8087.361793
902	8081.197816
903	8078.305516
904	8076.297396
905	8073.677703
906	8070.00641
907	8065.869064
908	8062.688842
909	8059.792809
910	8055.253181
911	8054.80163
912	8051.584125
913	8051.115686
914	8050.564857
915	8046.555068
916	8042.805391
917	8039.730476
918	8037.799994
919	8035.6904
920	8029.127115
921	8027.631868
922	8021.953586
923	8020.239572
924	8018.623437
925	8016.380416
926	8010.925756
927	8008.209896
928	8005.604878
929	8000.914054
930	7995.351501
931	7988.176272
932	7984.857996
933	7983.781685
934	7983.319679
935	7983.081724
936	7980.153661
937	7974.516133
938	7973.178209
939	7973.001446
940	7970.572261
941	7970.400627
942	7967.918404
943	7965.237077
944	7961.408501
945	7956.430557
946	7952.083334
947	7951.138343
948	7947.9405
949	7947.740112
950	7940.989223
951	7938.182249
952	7936.860625
953	7934.642993
954	7927.757134
955	7926.867029
956	7923.079824
957	7922.069052
958	7919.540289
959	7919.271405
960	7917.011774
961	7915.257336
962	7913.748323
963	7908.675993
964	7908.454304
965	7907.095491
966	7906.773409
967	7906.450145
968	7898.430969
969	7897.84795
970	7893.989234
971	7889.653182
972	7887.780404
973	7886.867287
974	7883.412308
975	7880.381383
976	7878.370618
977	7877.453101
978	7877.192959
979	7872.317126
980	7871.355309
981	7867.338067
982	7861.799268
983	7856.989688
984	7853.879119
985	7849.787956
986	7846.080149
987	7843.843403
988	7843.439359
989	7838.807607
990	7836.040555
991	7833.125977
992	7826.721492
993	7822.19131
994	7814.91077
995	7812.523356
996	7808.326111
997	7807.955665
998	7807.656297
999	7805.440716
